COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
CHE,,ALL,1993,11
TJK,,ALL,1993,48
MKD,,ALL,1993,16
TUR,,ALL,1993,
TKM,,ALL,1993,
UKR,,ALL,1993,
GBR,,ALL,1993,
UZB,,ALL,1993,
,WHO_EURO,ALL,1993,
,EU_BEFORE_MAY2004,ALL,1993,
,EU_AFTER_MAY2004,ALL,1993,
,CIS,ALL,1993,34
,CARINFONET,ALL,1993,50
,SEEHN,ALL,1993,
,NORDIC,ALL,1993,
,SMALL,ALL,1993,
ALB,,ALL,1994,
AND,,ALL,1994,
ARM,,ALL,1994,
AUT,,ALL,1994,9
AZE,,ALL,1994,56
BLR,,ALL,1994,45
BEL,,ALL,1994,
BIH,,ALL,1994,
BGR,,ALL,1994,
HRV,,ALL,1994,
CYP,,ALL,1994,
CZE,,ALL,1994,
DNK,,ALL,1994,4
EST,,ALL,1994,
FIN,,ALL,1994,
FRA,,ALL,1994,11
GEO,,ALL,1994,
DEU,,ALL,1994,11
GRC,,ALL,1994,23
HUN,,ALL,1994,
ISL,,ALL,1994,
IRL,,ALL,1994,
ISR,,ALL,1994,
ITA,,ALL,1994,
KAZ,,ALL,1994,53
KGZ,,ALL,1994,50
LVA,,ALL,1994,36
LTU,,ALL,1994,47
LUX,,ALL,1994,
MLT,,ALL,1994,
MCO,,ALL,1994,
MNE,,ALL,1994,26
NLD,,ALL,1994,6
NOR,,ALL,1994,
POL,,ALL,1994,
